PlayerName,PlayerID,TrueTier,LatentSkill,PerfScore,CombinedScore,RoleFit,CoreSkill,ConsistencyFactor
P1,1,Silver,51.002,43.671,48.436,43.58,52.28,0.98
P2,2,Silver,54.197,29.005,45.38,54.92,55.66,0.966
P3,3,Silver,54.111,23.978,43.564,48.52,55.22,1.014
P4,4,Bronze,51.759,16.091,39.275,51.52,50.14,0.947
P5,5,Gold,56.851,62.033,58.664,54.04,60.6,0.99
P6,6,Silver,55.861,32.377,47.641,63.28,61.62,0.933
P7,7,Silver,63.436,25.31,50.092,65.68,60.8,1.002
P8,8,Gold,64.67,26.809,51.418,63.68,64.9,1.022
P9,9,Gold,55.204,59.724,56.786,60.58,62.24,0.972
P10,10,Silver,54.912,24.968,44.432,52.32,56.5,0.998
P11,11,Silver,65.551,11.033,46.47,55.42,66.76,0.942
P12,12,Bronze,51.595,24.512,42.116,58.32,55.74,0.972
P13,13,Silver,50.889,41.725,47.681,45.94,46.4,1.032
P14,14,Bronze,55.594,10.733,39.893,53.36,49.94,0.968
P15,15,Silver,51.942,28.09,43.594,62.2,54.46,0.963
P16,16,Bronze,50.957,20.354,40.246,54.6,49.44,0.99
P17,17,Gold,51.41,53.344,52.087,50.66,56.06,0.99
P18,18,Bronze,45.071,10.262,32.888,50.9,44.9,0.944
P19,19,Bronze,48.998,21.979,39.541,40.38,56.8,0.948
P20,20,Silver,63.484,21.447,48.771,64.12,64.62,0.989
P21,21,Diamond,69.269,75.528,71.459,69.42,66.72,1.035
P22,22,Silver,66.075,19.039,49.613,69.0,77.48,0.944
P23,23,Bronze,56.981,15.092,42.32,54.64,61.96,0.957
P24,24,Bronze,51.018,23.127,41.256,46.08,48.04,1.034
P25,25,Bronze,46.439,30.188,40.751,48.86,51.7,1.017
P26,26,Silver,60.639,13.465,44.128,57.64,63.78,0.98
P27,27,Silver,64.377,23.089,49.926,64.96,55.24,1.03
P28,28,Bronze,45.991,14.869,35.098,39.24,46.5,0.962
P29,29,Gold,54.25,52.247,53.549,54.06,64.4,0.984
P30,30,Bronze,46.113,9.784,33.398,53.52,48.88,0.944
P31,31,Gold,63.575,27.692,51.016,70.52,60.98,1.032
P32,32,Silver,55.309,27.055,45.42,51.34,53.8,0.977
P33,33,Bronze,44.669,32.016,40.241,44.1,51.92,0.944
P34,34,Bronze,52.853,13.835,39.196,52.94,51.54,1.01
P35,35,Silver,55.72,20.569,43.417,53.82,53.18,0.989
P36,36,Bronze,52.168,23.678,42.197,47.84,50.0,0.978
P37,37,Silver,53.124,45.538,50.469,69.82,55.34,0.931
P38,38,Bronze,50.05,18.644,39.058,48.26,53.42,0.972
P39,39,Silver,56.528,17.957,43.028,46.5,53.4,1.029
P40,40,Bronze,48.017,13.97,36.101,46.76,46.48,1.006
P41,41,Diamond,62.657,52.376,59.058,57.26,58.56,1.024
P42,42,Bronze,42.21,16.305,33.143,45.2,47.72,0.968
P43,43,Silver,57.831,26.171,46.75,67.06,71.32,0.963
P44,44,Silver,51.167,36.042,45.873,63.48,58.3,0.968
P45,45,Gold,51.626,53.587,52.312,49.18,56.6,1.032
P46,46,Silver,68.015,11.849,48.357,65.88,71.46,0.959
P47,47,Gold,70.826,25.249,54.874,62.76,72.36,1.018
P48,48,Silver,60.622,22.302,47.21,55.42,56.86,0.998
P49,49,Bronze,41.475,36.287,39.659,47.46,37.26,1.03
P50,50,Bronze,44.964,12.224,33.505,46.7,56.68,0.931
P51,51,Silver,54.835,19.958,42.628,63.72,55.92,0.999
P52,52,Bronze,44.842,20.872,36.453,42.66,42.34,1.028
P53,53,Diamond,60.438,69.206,63.507,56.7,66.28,0.984
P54,54,Bronze,47.357,13.501,35.508,45.06,50.34,1.016
P55,55,Gold,65.27,28.633,52.447,55.4,68.6,0.936
P56,56,Bronze,41.062,10.531,30.376,37.94,44.18,0.951
P57,57,Diamond,66.336,52.525,61.502,59.0,64.52,1.024
P58,58,Bronze,39.304,10.543,29.238,36.64,40.1,1.004
P59,59,Bronze,41.666,12.231,31.364,42.26,37.0,0.948
P60,60,Bronze,52.737,21.907,41.946,51.58,50.38,0.978
P61,61,Silver,51.181,44.068,48.692,49.4,52.56,0.992
P62,62,Bronze,43.94,25.244,37.397,49.48,56.22,0.933
P63,63,Gold,69.262,32.51,56.399,77.84,67.88,1.022
P64,64,Silver,60.166,31.913,50.278,60.28,57.52,1.022
P65,65,Bronze,45.91,26.866,39.244,39.72,46.58,0.939
P66,66,Gold,62.26,30.224,51.047,64.32,55.32,1.028
P67,67,Silver,61.242,24.802,48.488,57.4,56.72,1.04
P68,68,Gold,63.832,26.951,50.924,68.32,67.58,0.944
P69,69,Bronze,42.563,37.753,40.88,51.58,47.8,0.983
P70,70,Silver,61.627,17.84,46.302,61.62,63.02,1.016
P71,71,Bronze,44.674,11.137,32.936,43.7,46.16,0.947
P72,72,Bronze,55.425,18.268,42.42,53.16,57.08,0.96
P73,73,Bronze,50.913,26.386,42.328,52.64,47.82,0.948
P74,74,Bronze,54.327,19.557,42.158,52.5,58.26,0.969
P75,75,Gold,66.274,35.927,55.653,64.9,66.04,1.029
P76,76,Silver,62.681,27.56,50.389,63.74,63.66,1.038
P77,77,Diamond,72.799,67.624,70.988,77.62,69.26,0.971
P78,78,Silver,62.091,17.555,46.504,63.58,57.78,1.01
P79,79,Bronze,47.547,24.88,39.614,43.4,45.0,1.016
P80,80,Bronze,51.836,21.059,41.064,57.22,52.42,0.975
P81,81,Gold,55.835,48.785,53.368,57.96,50.62,1.02
P82,82,Bronze,60.283,9.615,42.549,63.26,64.66,0.95
P83,83,Bronze,47.316,16.5,36.53,48.82,50.58,0.936
P84,84,Silver,57.291,25.568,46.188,61.34,56.12,0.963
P85,85,Bronze,44.22,27.972,38.533,47.08,52.14,0.959
P86,86,Silver,60.165,27.923,48.88,66.82,68.02,0.942
P87,87,Bronze,49.83,26.966,41.827,59.9,51.88,0.938
P88,88,Gold,68.254,29.571,54.715,60.1,63.56,1.029
P89,89,Gold,61.583,52.533,58.415,62.92,63.74,0.996
P90,90,Bronze,39.275,11.401,29.519,47.34,46.06,0.947
P91,91,Gold,74.195,25.736,57.235,64.78,72.12,1.02
P92,92,Silver,61.471,30.311,50.565,63.96,60.02,1.01
P93,93,Gold,61.152,53.576,58.5,62.26,66.84,0.938
P94,94,Gold,68.713,22.347,52.485,71.08,69.5,1.0
P95,95,Silver,63.081,25.839,50.046,71.36,62.14,1.02
P96,96,Silver,53.715,24.223,43.393,52.92,53.88,1.034
P97,97,Gold,57.397,54.52,56.39,59.96,59.34,0.986
P98,98,Bronze,49.132,19.688,38.826,41.68,51.12,1.004
P99,99,Silver,57.746,25.787,46.561,57.24,59.08,1.004
P100,100,Silver,57.773,20.4,44.692,56.5,61.46,1.002
